Material Type,Machine Type,Output Quality,Temperature at Step 1 (°C),Pressure at Step 1 (bar),Processing Time at Step 1 (seconds),Temperature at Step 2 (°C),Pressure at Step 2 (bar),Processing Time at Step 2 (seconds),Temperature at Step 3 (°C),Pressure at Step 3 (bar),Processing Time at Step 3 (seconds),Temperature at Step 4 (°C),Pressure at Step 4 (bar),Processing Time at Step 4 (seconds),Temperature at Step 5 (°C),Pressure at Step 5 (bar),Processing Time at Step 5 (seconds),Temperature at Step 6 (°C),Pressure at Step 6 (bar),Processing Time at Step 6 (seconds),Temperature at Step 7 (°C),Pressure at Step 7 (bar),Processing Time at Step 7 (seconds),Temperature at Step 8 (°C),Pressure at Step 8 (bar),Processing Time at Step 8 (seconds),Temperature at Step 9 (°C),Pressure at Step 9 (bar),Processing Time at Step 9 (seconds),Temperature at Step 10 (°C),Pressure at Step 10 (bar),Processing Time at Step 10 (seconds)
Type A,Machine 2,0,82.54977258668283,8.582676581964881,229.40268412022007,68.05832197533016,7.677717960458085,279.1744079968129,30.690355032209116,2.4764394977863544,240.62864390867588,62.51337125784934,5.819612663301811,280.6528884282986,68.71882738356294,9.44464748942361,60.43936398766613,57.20415871782161,6.347850964889815,227.05940754843326,99.24696831234752,7.180290150704158,90.00830275318498,43.96933330561975,9.208962758882333,51.49841926831609,60.28748257760272,1.2475727365976816,192.66468198425892,54.5770973977458,8.69365785426853,187.73175494990048
Type C,Machine 2,0,23.989393550000653,2.1697354906627537,204.52472852406225,86.87254141535198,2.9599627519992677,90.62801701505785,81.95247318006929,6.913961484429522,292.1812262646879,69.2368523155244,9.827009036597332,142.28057280550794,57.7524120136422,2.618907690839868,195.22144080372195,71.99527694290644,4.078678222688154,98.48770989300033,88.72162490340283,8.737792101100908,140.27457603285438,83.00667235070605,3.275433595873231,247.63354950741106,90.6346245556914,2.4171326733128233,53.34316580459648,59.86198672419228,2.7078528080403856,276.58725339910774
Type B,Machine 2,1,26.598482065421038,7.1259120639958855,73.33511554833984,68.87081073888979,5.8620855820508035,104.62269493161895,38.46292490353346,4.171195448911191,244.08786862643223,87.31809155458402,6.12355831363686,72.16850071540735,44.842928059037924,7.892223857995068,56.12888845910178,21.80428937977566,6.701084971249053,50.18593460189958,79.24072591798972,5.635262352693137,206.81482830161553,68.86886361542557,4.255940884709861,211.8972021833449,39.164921887344946,5.763382583903772,142.3500717312482,173.9875754255212,21.99579304687508,6.048241330560208
Type B,Machine 1,0,58.90868068645946,5.23576437659238,60.883407016265195,55.79278808635279,8.982200448396911,125.02982962051469,85.41985762786521,4.9400001183411995,65.94353071758653,74.06059089303591,2.6685842647406717,156.25784213050775,56.770907880315264,4.964132561177125,255.39993110137837,70.98113103209892,4.035671214084472,281.8582149352376,59.163489517016366,4.370650356800061,90.18912323691379,68.55912424642918,1.0477704574907833,56.89981971742609,44.99489298706344,2.4699841307173402,67.20623242968414,97.80874659147327,9.404613096029815,116.64581616355086
Type A,Machine 3,1,22.66111770352479,3.9298076587494295,167.89444029350207,53.657523608408646,8.370484021955482,68.69443061371015,99.94428474159984,2.7669856673084547,138.11741181833526,68.352836233181,2.7060128466508484,88.9579066390594,83.21996283235708,8.654452032761496,115.82170781984745,47.65274522605349,3.8489387951889222,79.30604529905337,72.98296599040314,1.3013819391553114,54.44551932999676,60.35743125950646,7.451904999323722,141.7066102105748,81.01665360767713,4.667219504592736,150.67100115642756,60.20686715002654,1.7143982470505055,56.842948355274245
Type A,Machine 3,0,84.65365317903783,8.781425846597081,145.36961072582574,60.883738297062536,9.472629800788168,173.1371252434413,97.7840567180814,1.0572390237943359,285.3969933633075,63.1178395275493,1.6048587070180202,196.53259264497106,93.2755533746157,8.763709988095322,108.71736143066703,68.06254293515106,6.3737609695045645,247.52399988409704,27.188448315696625,9.476324006418633,295.9558066172922,42.21003190194334,6.979721645732957,94.42807599040214,73.36114397110077,4.388144105507497,128.29418218230455,61.91528683015918,1.4613792644227939,150.85473115658385
Type B,Machine 3,0,71.57058231751063,9.989246725398614,151.17859535212693,95.61860951074979,4.614559875398806,86.79433615569569,79.07006318122578,9.427629985217115,288.8187892149994,32.79536464717259,5.526084892273976,96.4394722388233,62.289808669279545,3.8103754050492213,282.81916361161217,21.47041315818835,1.1130128682460825,289.60775085972523,82.90412540118413,5.2624530977531165,52.65439613653678,24.857074810045496,8.68414448185661,231.22133506737092,94.58507023255638,6.390021603900344,164.63631126177023,34.993082498927855,7.9833268833492,79.81602085046434
Type A,Machine 2,0,34.3826638407701,9.756535058467477,85.22355746019979,56.42172800453886,3.1269531105323747,195.19213924297173,74.22230803621525,4.554080390998801,175.81105758515227,75.49110991214243,8.43782516529264,51.801616200036634,69.05058390031263,7.753771544849688,148.99491620108856,67.97143022118843,2.831716021822423,148.65677971912146,83.6082924440286,5.436083089743447,93.2430493636028,64.618698778463,3.0881438860238766,229.17648363587452,35.41029027208757,6.673111530302841,209.88761698959027,86.02583901631381,3.382786549583701,238.54074100708786
Type B,Machine 1,1,21.829446562468746,6.155613045926358,129.49029262253146,73.30673444248539,4.272767481603218,258.8491296321655,66.75861547306017,1.3157880803863815,58.294896077637254,48.79577216133172,4.557421844544171,198.02871772228963,29.377876502603133,4.55861735577354,106.5615569844775,97.60021930028715,7.854076296747632,154.7168070539343,95.38128802506088,4.725907474558303,169.96300342660584,64.60585401249642,6.771014739076684,286.40998081994434,46.75111328877434,2.0151718446639975,269.8932119598303,78.25865972433934,9.689572208343279,142.34116575485672
Type A,Machine 2,0,80.12298724790807,6.796232369933405,113.64427600772731,70.00739967960541,6.567844957769236,149.2155345903363,90.32837017900532,7.036972997329955,156.02670241991245,95.32693003350639,6.519726260401827,268.28836586563773,27.01461575571411,5.626242439605602,118.25854804587162,91.81782299762463,5.578333327503812,146.743617945751,35.322924618435074,2.417775297717844,86.77005967902946,46.13005288773802,9.70005623678846,136.9744493103848,97.44224745446404,2.857905067446853,170.45115639737645,96.86588077776906,9.949832226947288,211.4241307089848
